ordno,itcode,itunit,itqty,itrte,itamnt,bcamnt,itemdesc,ordte,ccode,refno,clsup,tramnt,name
160004,ALUMINSHEET014 ,NOS  ,2.0,60.0,120.0,120.0,Aluminum sheets 14Ga,2016-12-12,02 ,12/12/2016                                                                                                                                            ,CR00102,120.0,
160012,ALUMINSHEET014 ,SQFT ,2.0,60.0,120.0,120.0,Aluminum sheets 14Ga,2016-12-15,02 ,                                                                                                                                                      ,CR00102,120.0,
160009,STANDING00000S ,FEET ,2000.0,0.78,1560.0,1560.0,STANDING S,2014-12-16,02 ,                                                                                                                                                      ,CR00050,1754.0,CR Coastal HVAC Supply ( Vendor )                           
160009,GASKET00000001 ,BOX  ,4.0,48.5,194.0,194.0,Gasket,2014-12-16,02 ,                                                                                                                                                      ,CR00050,1754.0,CR Coastal HVAC Supply ( Vendor )                           
160008,PNEUMATCHAMMER ,NOS  ,2.0,280.0,560.0,560.0,PNEUMATIC HAMMER,2016-12-13,02 ,12/07/2016                                                                                                                                            ,CR00171,560.0,
160010,ELECTRODEA2406 ,NOS  ,50.0,2.86,143.0,143.0,ELECTRODE A 2406,2016-12-14,02 ,                                                                                                                                                      ,CR00172,143.0,CR T. J. SNOW CO.                                           
160011,CANVASCONNECTN ,BOX  ,6.0,159.0,954.0,954.0,CANVAS CONNECTIONS,2016-12-14,02 ,                                                                                                                                                      ,CR00136,1234.16,"CR Solar Supply, Inc                                        "
160011,LINERPIN000015 ,BOX  ,4.0,44.12,176.48,176.48,"LINER PIN 1½""",2016-12-14,02 ,                                                                                                                                                      ,CR00136,1234.16,"CR Solar Supply, Inc                                        "
160011,SELFADHESVPINS ,BOX  ,6.0,17.28,103.68,103.68,"SELF ADHESIVE PINS 2""",2016-12-14,02 ,                                                                                                                                                      ,CR00136,1234.16,"CR Solar Supply, Inc                                        "
160016,SILICONEALUMIN ,NOS  ,240.0,2.38,571.2,571.2,ALUMINIUM SILICONE,2016-12-19,01 ,                                                                                                                                                      ,CR00050,571.2,CR Coastal HVAC Supply ( Vendor )                           
160017,PKGBOX00141410 ,NOS  ,500.0,1.32,660.0,660.0,BOX 14X14X10,2016-12-19,01 ,                                                                                                                                                      ,CR00002,1572.0,CR AAA Box Co                                               
160017,PKGBOX00161610 ,NOS  ,300.0,1.75,525.0,525.0,BOX 16X16X10,2016-12-19,01 ,                                                                                                                                                      ,CR00002,1572.0,CR AAA Box Co                                               
160017,PKGBOX00202012 ,NOS  ,150.0,2.58,387.0,387.0,BOX 20X20X12,2016-12-19,01 ,                                                                                                                                                      ,CR00002,1572.0,CR AAA Box Co                                               
160018,INSUL000011235 ,ROLL ,20.0,82.42,1648.4,1648.4,"INSULATION 1 ½"" X35½""",2016-12-19,01 ,                                                                                                                                                      ,CR00136,6617.2,"CR Solar Supply, Inc                                        "
160018,INSUL000011247 ,ROLL ,20.0,110.29,2205.8,2205.8,"INSULATION 1½""X47½""",2016-12-19,01 ,                                                                                                                                                      ,CR00136,6617.2,"CR Solar Supply, Inc                                        "
160018,INSUL000011259 ,ROLL ,20.0,138.15,2763.0,2763.0,"INSULATION 1½""X59½""",2016-12-19,01 ,                                                                                                                                                      ,CR00136,6617.2,"CR Solar Supply, Inc                                        "
160019,HANGERSTRAP000 ,ROLL ,71.0,0.8,56.8,56.8,HANGER STRAP,2016-12-19,02 ,                                                                                                                                                      ,CR00055,56.8,"CR Curtis Steel Company, Inc.                               "
160013,GICOIL00000030 ,LBS  ,13890.0,0.495,6875.55,6875.55,GI COIL 30 GAGE,2016-12-19,01 ,                                                                                                                                                      ,CR00112,14950.8,
160013,gicoil00000028 ,SQFT ,16650.0,0.485,8075.25,8075.25,GI COIL 28 GAGE,2016-12-19,01 ,                                                                                                                                                      ,CR00112,14950.8,
160014,SLFTAPPINGSCRW ,BOX  ,5000.0,0.018000000000000002,90.0,90.0,"5/16 SELF TAPPING SCREW  1""LONG",2016-12-19,02 ,                                                                                                                                                      ,CR00173,90.0,CR Delta Fastener Corp                                      
