BillDate,BillNo,accode,Amount,name,crdays,AvgBal,NetTrans,NetAmount,duedate,overduedays,DueStatus,OverDueAgeing,o/sdays,O/sAgeing
2020-12-22,2003918 ,DR00014,10500.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-21,-22.0,Not Overdue,,8.0,0 to 30 days
2020-12-16,2003881 ,DR00014,27000.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-15,-16.0,Not Overdue,,14.0,0 to 30 days
2020-12-14,2003867 ,DR00014,1350.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-13,-14.0,Not Overdue,,16.0,0 to 30 days
2020-12-14,2003868 ,DR00014,210.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-13,-14.0,Not Overdue,,16.0,0 to 30 days
2020-12-14,2003869 ,DR00014,270.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-13,-14.0,Not Overdue,,16.0,0 to 30 days
2020-12-07,2003790 ,DR00014,8000.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2021-01-06,-7.0,Not Overdue,,23.0,0 to 30 days
2020-11-23,2003644 ,DR00014,9065.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2020-12-23,7.0,Overdue,0 to 30 days,37.0,30 to 60 days
2020-11-23,2003643 ,DR00014,6230.0,Comfort Systems                                             ,30,60587.5,4075.0,4075.0,2020-12-23,7.0,Overdue,0 to 30 days,37.0,30 to 60 days
2020-12-22,2003931 ,DR00022,900.0,Hauk Heating & Cooling                                      ,30,612.5,1225.0,1225.0,2021-01-21,-22.0,Not Overdue,,8.0,0 to 30 days
2020-12-22,2003932 ,DR00022,275.0,Hauk Heating & Cooling                                      ,30,612.5,1225.0,1225.0,2021-01-21,-22.0,Not Overdue,,8.0,0 to 30 days
2020-12-07,2003900 ,DR00022,50.0,Hauk Heating & Cooling                                      ,30,612.5,1225.0,1225.0,2021-01-06,-7.0,Not Overdue,,23.0,0 to 30 days
2020-12-22,2003941 ,DR00032,580.0,"Magnum Mechanical Services, INC                             ",60,420321.3699999997,-333373.10000000056,333373.10000000056,2021-02-20,-52.0,Not Overdue,,8.0,0 to 30 days
