billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200467,PRESSONTAPWD06 ,NOS  ,106.0,7.68,814.08,200327,PURC,2020-07-27,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,990.08,07232003                 ,2020-07-27,2020-08-26,CR Win Supply Of Houston                                    ,P,2020-07-15,12.0
PURC,200468,PRESSONTAPND08 ,NOS  ,100.0,1.85,185.0,200327,PURC,2020-07-31,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,185.0,07232005                 ,2020-07-31,2020-08-30,CR Win Supply Of Houston                                    ,P,2020-07-15,16.0
PURC,200469,FLEXDUCTR60012 ,NOS  ,20.0,41.21,824.2,200332,PURC,2020-07-21,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,824.2,3638985                  ,2020-08-03,2020-09-02,"CR Solar Supply, Inc                                        ",P,2020-07-21,0.0
PURC,200470,GIDUCTD3610016 ,FEET ,30.0,3.40392,102.118,200351,PURC,2020-07-24,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,243.17700000000002,5612834                  ,2020-07-29,2020-09-27,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-07-29,-5.0
PURC,200470,GIDUCTD6010014 ,FEET ,50.0,2.82118,141.059,200351,PURC,2020-07-24,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,243.17700000000002,5612834                  ,2020-07-29,2020-09-27,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-07-29,-5.0
PURC,200471,FLEXMASTERM306 ,NOS  ,20.0,79.28,1585.6,200349,PURC,2020-07-31,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,3020.35,07314602                 ,2020-07-31,2020-08-30,CR Win Supply Of Houston                                    ,P,2020-07-28,3.0
PURC,200471,FLEXMASTERM308 ,NOS  ,15.0,95.65,1434.75,200349,PURC,2020-07-31,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,3020.35,07314602                 ,2020-07-31,2020-08-30,CR Win Supply Of Houston                                    ,P,2020-07-28,3.0
PURC,200473,GRITSANDWHEL60 ,NOS  ,60.0,1.4165,84.99,200338,PURC,2020-07-23,COMMERCIAL,CR00227,Purchase Duct - Commercial                                  ,84.99,925852                   ,2020-07-23,2020-07-23,CR AMAZON . COM                                             ,P,2020-07-23,0.0
PURC,200474,FLEXDUCTR60006 ,NOS  ,24.0,22.16,531.84,200352,PURC,2020-08-03,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,2038.51,3639557                  ,2020-08-03,2020-09-02,"CR Solar Supply, Inc                                        ",P,2020-08-03,0.0
PURC,200474,FLEXDUCTR60008 ,NOS  ,16.0,26.45,423.2,200352,PURC,2020-08-03,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,2038.51,3639557                  ,2020-08-03,2020-09-02,"CR Solar Supply, Inc                                        ",P,2020-08-03,0.0
PURC,200474,FLEXDUCTR60010 ,NOS  ,20.0,33.12,662.4,200352,PURC,2020-08-03,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,2038.51,3639557                  ,2020-08-03,2020-09-02,"CR Solar Supply, Inc                                        ",P,2020-08-03,0.0
PURC,200474,FLEXDUCTR60012 ,NOS  ,2.0,41.21,82.42,200352,PURC,2020-08-03,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,2038.51,3639557                  ,2020-08-03,2020-09-02,"CR Solar Supply, Inc                                        ",P,2020-08-03,0.0
